arp.opcode,icmp.checksum,icmp.seq_le,http.content_length,http.response,tcp.checksum,tcp.connection.fin,tcp.connection.rst,tcp.connection.syn,tcp.flags,tcp.flags.ack,tcp.len,udp.port,udp.stream,udp.time_delta,dns.qry.qu,dns.retransmission,dns.retransmit_request,mqtt.conflags,mqtt.hdrflags,mqtt.len,mqtt.msgtype,mqtt.proto_len,mqtt.ver,http.request.uri.query_encoded,http.referer_encoded,http.request.version_encoded,Attack_label,Attack_type
0,0,0,0,0,0x86bd,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x8682,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x8516,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x6740,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x82c2,0,0,0,0x0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x19ca,0,0,0,0x0010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x8287,0,0,0,0x0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x198f,0,0,0,0x0010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x811b,0,0,0,0x0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x1823,0,0,0,0x0010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x6345,0,0,0,0x0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0xfa4c,0,0,0,0x0010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x8687,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x864c,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x84e0,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x670a,0,0,1,0x0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x825a,0,0,0,0x0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x1962,0,0,0,0x0010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x821f,0,0,0,0x0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x1927,0,0,0,0x0010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
0,0,0,0,0,0x80b3,0,0,0,0x0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DDoS_TCP
